name,rate,Unnamed: 2,cuisines,food_type,avg_cost_for_two,Unnamed: 6,address,rest_type,mood,companions,seating,photo_url,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reels ,crowdMorning,crowdAfternoon,crowdEvening,crowdNight,bestVisitTime,peakHours
Zee5 Loft,4.4,,"Cafe, Burger, Pizza, Sandwich","Beverages,desserts",700.0,,"Ground Floor, Shree Arcade, 17th Cross Road, 19th Main Road, Sector 4, HSR, Bangalore",Cafe,"relaxed, work",colleagues,"indoor,outdoor",https://i0.wp.com/thefoodpunch.com/wp-content/uploads/2018/05/fb_img_1524391879806.jpg?resize=720%2C720&ssl=1,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Cafe Terra,4.1,,"Cafe, Continental","snacks, Desserts,Indian",700.0,,"1004, Wipro Signal, 80 Feet Road, 1st Block, Koramangala 1st Block, Bangalore",Cafe,"relaxed, work",colleagues,"indoor,outdoor",https://b.zmtcdn.com/data/pictures/8/18387388/e3407e7fee2512e7d1e4a48632722aff.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DKEfsQlN6Vc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Grapevine,4.1,,"Cafe, Continental, Italian, Beverages, Mediterranean","beverages,Snacks,Indian",1200.0,,"1216, Ground Floor, 14th Main, 3rd Sector, HSR, Bangalore",Cafe,"romantic,cozy",couple,"indoor,outdoor",https://imgstaticcontent.lbb.in/lbbnew/wp-content/uploads/sites/2/2017/02/10202454/GrapevineHSR-i.jpg?w=1200&h=628&fill=blur&fit=fill,,,,,,,,,,,,,,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Enerjuvate Studio & Cafe,4.2,,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad","desserts, beverages, snacks",800.0,,"Shop 547, 32nd C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Cafe,"romantic, work","couple, colleagues",outdoor,https://imgstaticcontent.lbb.in/lbbnew/wp-content/uploads/sites/2/2017/11/14202848/Enerjuvate-Koramangala1.jpg,,,,,,,,,,,,,https://www.instagram.com/p/CEPLHRrhp5_/?utm_source=ig_web_copy_link,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Caffe Pascucci,4.1,,"Cafe, Continental, Pizza, Italian, Beverages"," snacks,desserts",950.0,,"17/J, 18th Cross, Sector 3, HSR, Bangalore",Cafe,romantic,"couple, friends",indoor,"https://b.zmtcdn.com/data/reviews_photos/2d3/9bb49f2ff3cc26733864eb50f42002d3_1646572046.jpg?fit=around|750:500&crop=750:500;*,*",,,,,,,,,,,,,,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Alchemy Coffee Roasters,4.2,,Cafe,"snacks,Indian",500.0,,"51 Ground Floor, 5th Main Road, 36th Cross Road, 5th Block, Jayanagar, Bangalore",Cafe,"work, relaxed","friends, colleagues",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/21/77/0a/img-20180719-222818-largejpg.jpg?w=1200&h=1200&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DYCfNQIhfWP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Tata Cha,3.9,,"Cafe, Tea, North Indian","beverages, indian,Snacks",500.0,,"2985, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Cafe,"relaxed,work",family,indoor,https://bsmedia.business-standard.com/_media/bs/img/article/2018-05/14/full/1526309956-4235.jpg,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Sunny Side Bistro,3.8,,"Cafe, Continental","snacks, beverages",700.0,,"98/5, Davis Road, Cooke Town, Frazer Town, Bangalore",Cafe,"relaxed, work,Cozy","colleagues,family","indoor,outdoor",https://content.jdmagicbox.com/v2/comp/bangalore/t9/080pxx80.xx80.160331085125.x5t9/catalogue/sunny-side-bistro-cooke-town-bangalore-continental-restaurants-xxct2soi8t-250.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/CvcS7E3s2kZ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Grubhouse,4.1,,"Continental, Cafe, Steak",beverages,800.0,,"172/A, 1st Main, 2nd Cross, Indiranagar, Bangalore","Casual Dining, Cafe",romantic,"couple, family","indoor,outdoor",https://imgstaticcontent.lbb.in/lbbnew/wp-content/uploads/sites/2/2017/09/17202012/TheGlubGrub2.jpg,,,,,,,,,,,,,,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Enchanted Garden,4.3,,"North Indian, Continental, Italian, Cafe",indian,1400.0,,"Bungalow 1, Bright Farm, Thubarahalli, Varthur Road, Whitefield, Bangalore","Casual Dining, Cafe","romantic, relaxed","couple, family","indoor,outdoor","https://assets.architecturaldigest.in/photos/6801cdddbd4859dc8ee43e80/3:2/w_1620,h_1080,c_limit/Untitled%20design.jpg",,,,,,,,,,,,,https://www.instagram.com/reel/DLm3uyKz9PZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
